name,description,sku,vendor_name,vendor_sku,brand,category,price,cost,width_in,depth_in,height_in,diameter_in,color,material,finish,room_tags,style_tags,product_tags,general_tags,image_url,active,notes
abbie swivel chair,abbie swivel chair blue stripes,mg-p520-016-rc,rowe furniture,P520-016-RC,rowe,furniture,2500,1250,32,40,34,,white/blue,,,living>bedroom
alba swivel chair,alba swivel chair jungle fabric,mg-alba-016-rc,rowe furniture,ALBA-016-RC,rowe,furniture,2500,1250,28,32,35,,jungle,,,living>bedroom,,,,,no
brette sofa,brette sofa white,mg-brette-003-rc,rowe furniture,BRETTE-003-RC,rowe,furniture,6000,3000,92,36,34,,ecru/mocha,,,living
brooke ottoman,brooke ottoman white,mg-brooke-otto-rc,rowe furniture,BROOKE-OTTO-RC,rowe,furniture,1800,900,26,22,20,,white/carob,,,living>bedroom
bruges sofa green,bruges sofa green,mg-bruges-002-rc,rowe furniture,BRUGES-002-RC,rowe,furniture,5800,2900,87,40,34,,green/mocha,,,living
bruges sofa white,bruges sofa white,mg-bruges-003-rc,rowe furniture,BRUGES-003-RC,rowe,furniture,6000,3000,97,40,34,,white/carob,,,living,,,,,no
bruges sofa brown,bruges sofa brown,mg-bruges-022-rc,rowe furniture,BRUGES-022-RC,rowe,furniture,5800,2900,87,40,34,,brown/mocha,,,living,,,,,no
capri round cocktail table,capri round cocktail table,mg-rr-10660-310,rowe furniture,RR-10660-310,rowe,furniture,3000,1500,40,40,16,,mocha,,,living>bedroom,,,,,
capri round end table,capri round end table,mg-rr-10660-335,rowe furniture,RR-10660-335,rowe,furniture,2800,1400,24,24,22,,mocha,,,living>bedroom,,,,,
cassius bench,cassius bench,mg-q175-076-rc,rowe furniture,Q175-076-RC,rowe,furniture,5200,2600,61,20,22,,blue/orange/carob,,,living>bedroom>dining,,,,,no
bernie leather swivel chair,bernie leather swivel chair,mg-q115-l-016-rc,rowe furniture,Q115-L-016-RC,rowe,furniture,6200,3100,33,35,29,,pea green,,,living>bedroom,,,,,no
linden table lamp white,linden table lamp white,mg-kw-3032pw-l,visual comfort,KW 3032PW-L,visual comfort,lighting,1399,699,23,23,34.5,,plaster white,,,living>bedroom
suki table lamp brass,suki table lamp brass,mg-kst1221bbs1,visual comfort,KST1221BBS1,visual comfort,lighting,399,199,12.5,12.5,22.12,,brass,,,living>bedroom
suki table lamp green,suki table lamp green,mg-kst1221grn1,visual comfort,KST1221GRN1,visual comfort,lighting,399,199,12.5,12.5,22.12,,green,,,living>bedroom,
suki table lamp blue,suki table lamp blue,mg-kst1221nvy1,visual comfort,KST1221NVY1,visual comfort,lighting,399,199,12.5,12.5,22.12,,navy,,,living>bedroom,
suki table lamp blush,suki table lamp blush,mg-kst1221blh1,visual comfort,KST1221BLH1,visual comfort,lighting,399,199,12.5,12.5,22.12,,blush,,,living>bedroom,
alberto accent lamp white,"alberto 17"" cordless accent lamp white",mg-jn3000pw-l-cl,visual comfort,JN 3000PW-L-CL,visual comfort,lighting,599,299,10.5,10.5,16.75,,white,,,living>bedroom,
alberto accent lamp bronze,"alberto 17"" cordless accent lamp antique bronze",mg-jn3000abl-l-cl,visual comfort,JN 3000ABL-L-CL,visual comfort,lighting,599,299,10.5,10.5,16.75,,antique bronze,,,living>bedroom
alberto accent lamp gold,"alberto 17"" cordless accent lamp gold leaf",mg-jn3000agl-l-cl,visual comfort,JN 3000AGL-L-CL,visual comfort,lighting,599,299,10.5,10.5,16.75,,gold leaf,,,living>bedroom,,
foo dog medium table lamp,foo dog medium table lamp with brass base,mg-rl3649bw-s,visual comfort,RL 3649BW-S,visual comfort,lighting,2199,1099,21,21,28,,blue/white/brass,,,living>bedroom
"monique 26"" table lamp brown","monique 26"" table lamp positano sand",mg-tob3618pos-l,visual comfort,TOB 3618POS-L,visual comfort,lighting,899,449,15.5,15.5,25.75,,positano sand,,,living>bedroom
"monique 26"" table lamp blue","monique 26"" table lamp silk blue",mg-tob3618skb-l,visual comfort,TOB 3618SKB-L,visual comfort,lighting,899,449,15.5,15.5,25.75,,silk blue,,,living>bedroom
"monique 26"" table lamp white","monique 26"" table lamp venetian white",mg-tob3618vnw-l,visual comfort,TOB 3618VNW-L,visual comfort,lighting,899,449,15.5,15.5,25.75,,venetian white,,,living>bedroom
"monique 26"" table lamp green","monique 26"" table lamp silk green",mg-tob3618skg-l,visual comfort,TOB 3618SKG-L,visual comfort,lighting,899,449,15.5,15.5,25.75,,silk green,,,living>bedroom
"terri 12"" cordless accent lamp crystal","terry 12"" cordless accent lamp crystal",mg-tob2100cg-l-cl,visual comfort,TOB 3100CG-L-CL,visual comfort,lighting,649,325,6,6,12,,crystal,,,living>bedroom
"terri 12"" cordless accent lamp alabaster","terri 12"" cordless accent lamp alabaster",mg-tob2100alb-l-cl,visual comfort,TOB 3100ALB-L-CL,visual comfort,lighting,649,325,6,6,12,,alabaster,,,living>bedroom,,,,,,
terri large round table lamp alabaster,terri large round table lamp alabaster,mg-tob3023alb-l,visual comfort,TOB 3023ALB-L,visual comfort,lighting,649,325,8,8,15.5,,alabaster,,,living>bedroom
terri large round table lamp crystal,terri large round table lamp crystal,mg-tob3023cg-l,visual comfort,TOB 3023CG-L,visual comfort,lighting,649,325,8,8,15.5,,crystal,,,living>bedroom,
evie large table lamp natural,evie large table lamp natural wicker,mg-mf3012ntw-l,visual comfort,MF 3012NTW-L,visual comfort,lighting,1799,899,23,23,31.75,,natuaral wicker,,,living>bedroom
evie large table lamp white,evie large table lamp white wicker,mg-mf3012ww-l,visual comfort,MF 3012WW-L,visual comfort,lighting,1799,899,23,23,31.75,,white wicker,,,living>bedroom,
"18"" multicolored design jar","18"" multicolored design jar",mg-av-1772,avala,1772,avala,decor,555,199,10,10,18,,multicolor,,,living>bedroom>bath
"10"" tobacco leaf plate","10"" tobacco leaf plate",mg-av-1247,avala,1247,avala,decor,405,135,10,10,2,,multicolor,,,living>bedroom
"15"" mulitcolored figures jar","15"" mulitcolored figures jar",mg-av-1922,avala,1922,avala,decor,477,189,9,9,15,,multicolor,,,living>bedroom>bath
"6"" blue and white canton box","6"" blue and white canton box",mg-av-1932,avala,1932,avala,decor,255,85,6,6,5,,blue/white,,,living>bedroom>bath,,
"9"" blue & white bird & flower box","9"" blue & white bird & flower box",mg-av-1931,avala,1931,avala,decor,285,115,9,9,5,,blue/white,,,living>bedroom>bath
"6.75""  blue and white tea caddie bookends","6.75""  blue and white tea caddie bookends",mg-av-2560,avala,2560,avala,decor,417,139,3,5,6.75,,blue/white,,,living>bedroom
"12"" oxblood handshaped pagoda","12"" oxblood handshaped pagoda",mg-av-1966a,avala,1966a,avala,decor,255,85,7,7,11.5,,oxblood,,,living>bedroom>bath
12″ Blue and White Square Beaker,12″ Blue and White Square Beaker,mg-av-1865,avala,1865,avala,decor,297,99,4,4,12,,blue/white,,,living>bedroom>bath
12″ White Handshaped Pagoda,12″ White Handshaped Pagoda,mg-av-1965,avala,1965,avala,decor,282,94,7,7,11.5,,white,,,living>bedroom>bath
31″ Double Gourd Vase Multicolored Insect Lamp,31″ Double Gourd Vase Lamp with Multicolored Insect Design on Acrylic Base,mg-av-1633rdp,avala,1633RDP,avala,lighting,747,249,16,16,31,,multicolor,,,living>bedroom
18″ Blue and White Crosshatch Garden Seat,18″ Blue and White Crosshatch Garden Seat,mg-av-2407,avala,2407,avala,decor,375,125,12.5,12.5,18,,blue/white,,,living>bedroom
18″ Imari Garden Seat,18″ Imari Garden Seat,mg-av-1927,avala,1927,avala,decor,897,299,11,11,18,,multicolor,,,living>bedroom
29″ Green and White Bird and Flower Ginger Jar Lamp,29″ Foot-stomped Green and White Bird and Flower Ginger Jar Lamp on Acrylic Base,mg-av-1348ardp,avala,1348ARDP,avala,lighting,705,295,18,18,29,,green,,,living>bedroom
29″ Blue and White Bird and Flower Tea Caddie Jar Lamp,29″ Blue and White Bird and Flower Tea Caddie Jar Lamp on Gold Leaf Base,mg-av-9036gl,avala,9036GL,avala,lighting,1005,335,17,17,29,,blue/white,,,living>bedroom
22″ Foot-stomped Blue and White Bird and Flower Jar Lamp,22″ Foot-stomped Blue and White Bird and Flower Jar Lamp on Acrylic Base,mg-av-1827rdp,avala,1827RDP,avala,lighting,537,179,16,16,22,,blue/white,,,living>bedroom
22″ Blue and White Canton Gourd Lamp on Wood Base,22″ Blue and White Canton Gourd Lamp on Wood Base,mg-av-1738wd,avala,1738WD,avala,lighting,525,175,12,12,22,,blue/white,,,living>bedroom
32″ Blue and White Floral Beaker Vase Lamp,32″ Blue and White Floral Beaker Vase Lamp on Acrylic Base,mg-av-2424rdp,avala,2424RDP,avala,lighting,837,279,17,17,32,,blue/white,,,living>bedroom
Elina Console Elina Console Natural Twill,Elina Console Elina Console Natural Twill,mg-eli-400-6124,villa & house,ELI-400-6124,villa & house,furniture,3800,1900,57,19.5,33,,natural,,,living>bedroom
Elina Console Elina Console storm blue,Elina Console Elina Console storm blue,mg-eli-400-538,villa & house,ELI-400-538,villa & house,furniture,3800,1900,57,19.5,33,,blue,,,living>bedroom
Elina Console Elina Console vanilla,Elina Console Elina Console vanilla,mg-eli-400-539,villa & house,ELI-400-539,villa & house,furniture,3800,1900,57,19.5,33,,vanilla,,,living>bedroom
Bryant Linen Extra Wide Large 6-Drawer with Glass Top,Bryant Linen Extra Wide Large 6-Drawer with Glass Top blue steel,mg-bry-260-5198-gt,villa & house,BRY-260-5198-GT,villa & house,furniture,5500,2700,71,21,30.75,,blue,,,living>bedroom
Elina Extra Large 6-Drawer with Glass Top blue,Elina Extra Large 6-Drawer with Glass Top storm blue,mg-eli-250-538-88-gt,villa & house,ELI-250-538-88-GT,villa & house,furniture,5500,2700,66,18,34.5,,blue,,,living>bedroom
Elina Extra Large 6-Drawer with Glass Top natural,Elina Extra Large 6-Drawer with Glass Top natural twill,mg-eli-250-6124-88-gt,villa & house,ELI-250-6124-88-GT,villa & house,furniture,5500,2700,66,18,34.5,,natural,,,living>bedroom
Elina Extra Large 6-Drawer with Glass Top vanilla,Elina Extra Large 6-Drawer with Glass Top vanilla,mg-eli-250-539-88-gt,villa & house,ELI-250-539-88-GT,villa & house,furniture,5500,2700,66,18,34.5,,vanilla,,,living>bedroom
Bethany Large Rectangular Coffee Table vanilla,Bethany Large Rectangular Coffee Table vanilla,mg-bth-315-539,villa & house,BTH-315-539,villa & house,furniture,3900,1900,54,30,18,,vanilla,,,living>bedroom
Bethany Large Rectangular Coffee Table storm blue,Bethany Large Rectangular Coffee Table storm blue,mg-bth-315-538,villa & house,BTH-315-538,villa & house,furniture,3900,1900,54,30,18,,blue,,,living>bedroom
Bethany Large Rectangular Coffee Table natural twill,Bethany Large Rectangular Coffee Table natural twill,mg-bth-315-6124,villa & house,BTH-315-6124,villa & house,furniture,3900,1900,54,30,18,,natural,,,living>bedroom
Bethany Large Square Coffee Table natural twill,Bethany Large Square Coffee Table natural twill,mg-bth-310-6124,villa & house,BTH-310-6124,villa & house,furniture,4500,2250,42,42,18,,natural,,,living
Bethany Large Square Coffee Table vanilla,Bethany Large Square Coffee Table vanilla,mg-bth-310-539,villa & house,BTH-310-539,villa & house,furniture,4500,2250,42,42,18,,vanilla,,,living
Bethany Large Square Coffee Table storm blue,Bethany Large Square Coffee Table storm blue,mg-bth-310-538,villa & house,BTH-310-538,villa & house,furniture,4500,2250,42,42,18,,storm blue,,,living
Calvin Side Table Dark  Burl Wood,Calvin Side Table Dark  Burl Wood,mg-calvin-dbw,worlds away,CALVIN DBW,worlds away,furniture,3800,1900,28,18,29,,dark burl wood,,,living>bedroom
Novalie Side Table light blue,TWO DRAWER SIDE TABLE WITH FLUTED DRAWER FRONTS IN MATTE LIGHT BLUE LACQUER,mg-novalie-lb,worlds away,NOVALIE LB,worlds away,furniture,3100,1550,22,18,29.25,,light blue,,,living>bedroom
Cole Side Table green,TWO DRAWER SIDE TABLE WITH LARGE SATIN BRASS SQUARE HARDWARE IN GREEN DYED GRASSCLOTH WITH GLASS TOP,mg-cole-gr,worlds away,COLE GR,worlds away,furniture,4200,2100,28,18,29,,green,,,living>bedroom
Cole Side Table blue,TWO DRAWER SIDE TABLE WITH LARGE SATIN BRASS SQUARE HARDWARE IN BLUE DYED GRASSCLOTH WITH GLASS TOP,mg-cole-bl,worlds away,COLE BL,worlds away,furniture,4200,2100,28,18,29,,blue,,,living>bedroom
Cole Side Table white,TWO DRAWER SIDE TABLE WITH LARGE SATIN BRASS SQUARE HARDWARE IN WHITE TEXTURED LINEN WITH GLASS TOP,mg-cole-wh,worlds away,COLE WH,worlds away,furniture,4200,2100,28,18,29,,blue,,,living>bedroom,,,,,,
Giselle Side Table natural rattan,ONE DRAWER RECTANGULAR SIDE TABLE WITH FLARED SCALLOPED BASE IN RATTAN WITH GLASS TOP,mg-giselle,worlds away,GISELLE,worlds away,furniture,2800,1400,32.25,21.5,29,,natural,,,living>bedroom
